window_start_utc,settled_up,slug,source,up_mid_open,mid_seconds_remaining,open_price,close_price
2025-12-27 23:30:00+00:00,1,btc-updown-15m-1766878200,bot.hist_windows,,,,
2025-12-27 23:45:00+00:00,1,btc-updown-15m-1766879100,bot.hist_windows,,,,
2025-12-28 00:15:00+00:00,0,btc-updown-15m-1766880900,bot.hist_windows,,,,
2025-12-28 00:30:00+00:00,1,btc-updown-15m-1766881800,bot.hist_windows,,,,
2025-12-28 00:45:00+00:00,1,btc-updown-15m-1766882700,bot.hist_windows,,,,
2025-12-28 01:00:00+00:00,1,btc-updown-15m-1766883600,bot.hist_windows,,,,
2025-12-28 01:15:00+00:00,0,btc-updown-15m-1766884500,bot.hist_windows,,,,
2025-12-28 01:30:00+00:00,1,btc-updown-15m-1766885400,bot.hist_windows,,,,
2025-12-28 01:45:00+00:00,0,btc-updown-15m-1766886300,bot.hist_windows,,,,
2025-12-28 02:00:00+00:00,0,btc-updown-15m-1766887200,bot.hist_windows,,,,
2025-12-28 02:15:00+00:00,1,btc-updown-15m-1766888100,bot.hist_windows,,,,
2025-12-28 02:30:00+00:00,1,btc-updown-15m-1766889000,bot.hist_windows,,,,
2025-12-28 02:45:00+00:00,0,btc-updown-15m-1766889900,bot.hist_windows,,,,
2025-12-28 03:00:00+00:00,0,btc-updown-15m-1766890800,bot.hist_windows,,,,
2025-12-28 03:15:00+00:00,0,btc-updown-15m-1766891700,bot.hist_windows,,,,
2025-12-28 03:30:00+00:00,1,btc-updown-15m-1766892600,bot.hist_windows,,,,
2025-12-28 03:45:00+00:00,0,btc-updown-15m-1766893500,bot.hist_windows,,,,
2025-12-28 04:00:00+00:00,1,btc-updown-15m-1766894400,bot.hist_windows,,,,
2025-12-28 04:15:00+00:00,0,btc-updown-15m-1766895300,bot.hist_windows,,,,
2025-12-28 04:30:00+00:00,0,btc-updown-15m-1766896200,bot.hist_windows,,,,
2025-12-28 04:45:00+00:00,0,btc-updown-15m-1766897100,bot.hist_windows,,,,
2025-12-28 05:00:00+00:00,0,btc-updown-15m-1766898000,bot.hist_windows,,,,
2025-12-28 05:15:00+00:00,0,btc-updown-15m-1766898900,bot.hist_windows,,,,
2025-12-28 05:30:00+00:00,1,btc-updown-15m-1766899800,bot.hist_windows,,,,
2025-12-28 05:45:00+00:00,0,btc-updown-15m-1766900700,bot.hist_windows,,,,
2025-12-28 06:00:00+00:00,1,btc-updown-15m-1766901600,bot.hist_windows,,,,
2025-12-28 06:15:00+00:00,1,btc-updown-15m-1766902500,bot.hist_windows,,,,
2025-12-28 06:30:00+00:00,1,btc-updown-15m-1766903400,bot.hist_windows,,,,
2025-12-28 06:45:00+00:00,0,btc-updown-15m-1766904300,bot.hist_windows,,,,
2025-12-28 07:00:00+00:00,0,btc-updown-15m-1766905200,bot.hist_windows,,,,
2025-12-28 07:15:00+00:00,0,btc-updown-15m-1766906100,bot.hist_windows,,,,
2025-12-28 07:30:00+00:00,0,btc-updown-15m-1766907000,bot.hist_windows,,,,
2025-12-28 07:45:00+00:00,1,btc-updown-15m-1766907900,bot.hist_windows,,,,
2025-12-28 08:00:00+00:00,1,btc-updown-15m-1766908800,bot.hist_windows,,,,
2025-12-28 08:15:00+00:00,0,btc-updown-15m-1766909700,bot.hist_windows,,,,
2025-12-28 08:30:00+00:00,1,btc-updown-15m-1766910600,bot.hist_windows,,,,
2025-12-28 08:45:00+00:00,0,btc-updown-15m-1766911500,bot.hist_windows,,,,
2025-12-28 09:00:00+00:00,1,btc-updown-15m-1766912400,bot.hist_windows,,,,
2025-12-28 09:15:00+00:00,1,btc-updown-15m-1766913300,bot.hist_windows,,,,
2025-12-28 09:30:00+00:00,0,btc-updown-15m-1766914200,bot.hist_windows,,,,
2025-12-28 09:45:00+00:00,1,btc-updown-15m-1766915100,bot.hist_windows,,,,
2025-12-28 10:00:00+00:00,1,btc-updown-15m-1766916000,bot.hist_windows,,,,
2025-12-28 10:15:00+00:00,1,btc-updown-15m-1766916900,bot.hist_windows,,,,
2025-12-28 10:30:00+00:00,0,btc-updown-15m-1766917800,bot.hist_windows,,,,
2025-12-28 10:45:00+00:00,1,btc-updown-15m-1766918700,bot.hist_windows,,,,
2025-12-28 11:00:00+00:00,1,btc-updown-15m-1766919600,bot.hist_windows,,,,
2025-12-28 11:15:00+00:00,0,btc-updown-15m-1766920500,bot.hist_windows,,,,
2025-12-28 11:30:00+00:00,0,btc-updown-15m-1766921400,bot.hist_windows,,,,
2025-12-28 11:45:00+00:00,1,btc-updown-15m-1766922300,bot.hist_windows,,,,
2025-12-28 12:00:00+00:00,0,btc-updown-15m-1766923200,bot.hist_windows,,,,
2025-12-28 12:15:00+00:00,1,btc-updown-15m-1766924100,bot.hist_windows,,,,
2025-12-28 12:30:00+00:00,0,btc-updown-15m-1766925000,bot.hist_windows,,,,
2025-12-28 12:45:00+00:00,1,btc-updown-15m-1766925900,bot.hist_windows,,,,
2025-12-28 13:00:00+00:00,0,btc-updown-15m-1766926800,bot.hist_windows,,,,
2025-12-28 13:15:00+00:00,1,btc-updown-15m-1766927700,bot.hist_windows,,,,
2025-12-28 13:30:00+00:00,1,btc-updown-15m-1766928600,bot.hist_windows,,,,
2025-12-28 13:45:00+00:00,0,btc-updown-15m-1766929500,bot.hist_windows,,,,
2025-12-28 14:00:00+00:00,1,btc-updown-15m-1766930400,bot.hist_windows,,,,
2025-12-28 14:15:00+00:00,1,btc-updown-15m-1766931300,bot.hist_windows,,,,
2025-12-28 14:30:00+00:00,1,btc-updown-15m-1766932200,bot.hist_windows,,,,
2025-12-28 14:45:00+00:00,0,btc-updown-15m-1766933100,bot.hist_windows,,,,
2025-12-28 15:00:00+00:00,1,btc-updown-15m-1766934000,bot.hist_windows,,,,
2025-12-28 15:15:00+00:00,0,btc-updown-15m-1766934900,bot.hist_windows,,,,
2025-12-28 15:30:00+00:00,0,btc-updown-15m-1766935800,bot.hist_windows,,,,
2025-12-28 15:45:00+00:00,0,btc-updown-15m-1766936700,bot.hist_windows,,,,
2025-12-28 16:00:00+00:00,1,btc-updown-15m-1766937600,bot.hist_windows,,,,
2025-12-28 16:15:00+00:00,0,btc-updown-15m-1766938500,bot.hist_windows,,,,
2025-12-28 16:30:00+00:00,1,btc-updown-15m-1766939400,bot.hist_windows,,,,
2025-12-28 16:45:00+00:00,1,btc-updown-15m-1766940300,bot.hist_windows,,,,
2025-12-28 17:00:00+00:00,1,btc-updown-15m-1766941200,bot.hist_windows,,,,
2025-12-28 17:15:00+00:00,0,btc-updown-15m-1766942100,bot.hist_windows,,,,
2025-12-28 17:30:00+00:00,0,btc-updown-15m-1766943000,bot.hist_windows,,,,
2025-12-28 17:45:00+00:00,0,btc-updown-15m-1766943900,bot.hist_windows,,,,
2025-12-28 18:00:00+00:00,0,btc-updown-15m-1766944800,bot.hist_windows,,,,
2025-12-28 18:15:00+00:00,1,btc-updown-15m-1766945700,bot.hist_windows,,,,
2025-12-28 18:30:00+00:00,0,btc-updown-15m-1766946600,bot.hist_windows,,,,
2025-12-28 18:45:00+00:00,0,btc-updown-15m-1766947500,bot.hist_windows,,,,
2025-12-28 19:00:00+00:00,1,btc-updown-15m-1766948400,bot.hist_windows,,,,
2025-12-28 19:15:00+00:00,0,btc-updown-15m-1766949300,bot.hist_windows,,,,
2025-12-28 19:30:00+00:00,1,btc-updown-15m-1766950200,bot.hist_windows,,,,
2025-12-28 19:45:00+00:00,0,btc-updown-15m-1766951100,bot.hist_windows,,,,
2025-12-28 20:00:00+00:00,0,btc-updown-15m-1766952000,bot.hist_windows,,,,
2025-12-28 20:15:00+00:00,1,btc-updown-15m-1766952900,bot.hist_windows,,,,
2025-12-28 20:30:00+00:00,1,btc-updown-15m-1766953800,bot.hist_windows,,,,
2025-12-28 20:45:00+00:00,0,btc-updown-15m-1766954700,bot.hist_windows,,,,
2025-12-28 21:00:00+00:00,1,btc-updown-15m-1766955600,bot.hist_windows,,,,
2025-12-28 21:15:00+00:00,0,btc-updown-15m-1766956500,bot.hist_windows,,,,
2025-12-28 21:30:00+00:00,1,btc-updown-15m-1766957400,bot.hist_windows,,,,
2025-12-28 21:45:00+00:00,0,btc-updown-15m-1766958300,bot.hist_windows,,,,
2025-12-28 22:00:00+00:00,0,btc-updown-15m-1766959200,bot.hist_windows,,,,
2025-12-28 22:15:00+00:00,1,btc-updown-15m-1766960100,bot.hist_windows,,,,
2025-12-28 22:30:00+00:00,1,btc-updown-15m-1766961000,bot.hist_windows,,,,
2025-12-28 22:45:00+00:00,1,btc-updown-15m-1766961900,bot.hist_windows,,,,
2025-12-28 23:00:00+00:00,0,btc-updown-15m-1766962800,bot.hist_windows,,,,
2025-12-28 23:15:00+00:00,1,btc-updown-15m-1766963700,bot.hist_windows,,,,
2025-12-28 23:30:00+00:00,1,btc-updown-15m-1766964600,bot.hist_windows,,,,
2025-12-28 23:45:00+00:00,1,btc-updown-15m-1766965500,bot.hist_windows,,,,
2025-12-29 00:00:00+00:00,0,btc-updown-15m-1766966400,bot.hist_windows,,,,
